Date,Average_Load,Peak_Load
1/1/2016,448.2,448.2
2/1/2016,444.8,444.8
3/1/2016,444.3,444.3
4/1/2016,442.3,442.3
5/1/2016,443.7,443.7
6/1/2016,442.8,442.8
7/1/2016,439.4,439.4
8/1/2016,437.1,437.1
9/1/2016,433.5,433.5
10/1/2016,443.7,443.7
11/1/2016,438.2,438.2
12/1/2016,437,437
1/1/2017,430.6,430.6
2/1/2017,434.3,434.3
3/1/2017,434.1,434.1
4/1/2017,432.3,432.3
5/1/2017,434.1,434.1
6/1/2017,439.4,439.4
7/1/2017,439.3,439.3
8/1/2017,437.3,437.3
9/1/2017,434.8,434.8
10/1/2017,431.6,431.6
11/1/2017,429.8,429.8
12/1/2017,431.1,431.1
1/1/2018,425.9,425.9
2/1/2018,428,428
3/1/2018,429.1,429.1
4/1/2018,424.9,424.9
5/1/2018,431,431
6/1/2018,431.1,431.1
7/1/2018,438.1,438.1
8/1/2018,431.5,431.5
9/1/2018,435,435
10/1/2018,424.1,424.1
11/1/2018,421.9,421.9
12/1/2018,415.2,415.2
1/1/2019,411.5,411.5
2/1/2019,411.7,411.7
3/1/2019,405.3,405.3
4/1/2019,403.8,403.8
5/1/2019,398.9,398.9
6/1/2019,397.8,397.8
7/1/2019,393.6,393.6
8/1/2019,399.6,399.6
9/1/2019,390.7,390.7
10/1/2019,390.9,390.9
11/1/2019,394.2,394.2
12/1/2019,403.4,403.4
1/1/2020,388.3,388.3
2/1/2020,402,402
3/1/2020,397,397
4/1/2020,393.3,393.3
5/1/2020,395.1,395.1
6/1/2020,388.2,388.2
7/1/2020,384.7,384.7
8/1/2020,391,391
9/1/2020,371.1,371.1
10/1/2020,380.7,380.7
11/1/2020,376.2,376.2
12/1/2020,380.2,380.2
1/1/2021,369,369
2/1/2021,373.3,373.3
3/1/2021,376.5,376.5
4/1/2021,373.1,373.1
5/1/2021,367.4,367.4
6/1/2021,369.1,369.1
7/1/2021,366.1,366.1
8/1/2021,372.4,372.4
9/1/2021,373.3,373.3
10/1/2021,374.2,374.2
11/1/2021,392.7,392.7
12/1/2021,380.3,380.3
1/1/2022,380.6,380.6
2/1/2022,383.3,383.3
3/1/2022,399.7,399.7
4/1/2022,396,396
5/1/2022,394.6,394.6
6/1/2022,402.9,402.9
7/1/2022,408.8,408.8
8/1/2022,408.9,408.9
9/1/2022,408.3,408.3
10/1/2022,413.5,413.5
11/1/2022,414.7,414.7
12/1/2022,410.6,410.6
1/1/2023,414.4,414.4
2/1/2023,417.8,417.8
3/1/2023,408.4,408.4
4/1/2023,411.5,411.5
5/1/2023,419.4,419.4
6/1/2023,425.5,425.5
7/1/2023,431.7,431.7
8/1/2023,429.4,429.4
9/1/2023,422,422
10/1/2023,428.6,428.6
11/1/2023,427.9,427.9
12/1/2023,426.9,426.9
1/1/2024,424.8,424.8
2/1/2024,425.5,425.5
3/1/2024,433.6,433.6
4/1/2024,433.6,433.6
5/1/2024,430.4,430.4
6/1/2024,431.5,431.5
7/1/2024,429.9,429.9
8/1/2024,433.9,433.9
9/1/2024,438.2,438.2
10/1/2024,441.1,441.1
11/1/2024,446.5,446.5
12/1/2024,434.3,434.3
1/1/2025,438.3,438.3
2/1/2025,441.3,441.3
3/1/2025,423.3,423.3
4/1/2025,422,422
5/1/2025,431.9,431.9
6/1/2025,435.4,435.4
7/1/2025,439.3,439.3
8/1/2025,435.3,435.3
9/1/2025,431.1,431.1
